Metodo com vetor
10 : 0.000000
100 : 0.000000
1000 : 0.000000
10000 : 0.000000
100000 : 0.004000
1000000 : 0.054000
10000000 : 0.758000
100000000 : 10.576000
Metodo insercao e remocao
10 : 0.000000
100 : 0.000000
1000 : 0.000000
10000 : 0.000000
100000 : 0.000000
1000000 : 0.004000
10000000 : 0.033000
100000000 : 0.326000
